iso3,val,rank,tot
AFG,0.000666989037263,170,38928.341
AGO,0.0414537353043,34,32866.268
ALB,2.84417562247e-05,195,2877.8
AND,0.00281893797915,131,
ARE,0.0255328607775,48,9890.4
ARG,0.0157517280984,62,45195.777
ARM,0.0025539570033,136,2963.234
ASM,0.000335927188582,179,
ATG,0.00628681065422,103,97.928
AUS,0.00294262092586,128,25499.881
AUT,0.00604630418598,106,9006.4
AZE,0.00145762531969,151,10139.175
BDI,0.113595633061,17,11890.781
BEL,0.00612838450641,104,11589.616
BEN,0.0265874192302,47,12123.198
BFA,0.0785199878864,23,20903.278
BGD,0.000187624638764,187,164689.383
BGR,0.000674765818137,169,6948.445
BHR,0.000810269124079,165,1701.583
BHS,0.0337417235971,41,393.248
BIH,4.25133632673e-05,194,3280.815
BLR,0.00730671783063,93,9449.321
BLZ,0.018437325613,55,397.621
BMU,0.00999024199839,79,
BOL,0.00639947057717,101,11673.029
BRA,0.0110529155006,76,212559.409
BRB,0.0120594079314,74,287.371
BRN,0.00301745895051,127,437.483
BTN,0.00347252792611,122,771.612
BWA,0.462378025564,2,2351.625
CAF,0.179573207183,11,4829.764
CAN,0.00785369103158,86,37742.157
CHE,0.00858194251605,84,8654.618
CHL,0.0136682847016,67,19116.209
CHN,0.00229212067853,141,1439323.774
CIV,0.1174269883,16,26378.275
CMR,0.102504746371,18,26545.864
COD,0.0396011500162,35,89561.404
COG,0.0887189246149,19,5518.092
COL,0.00775749299938,88,50882.884
COM,0.00075291714951,167,869.595
CPV,0.0225908496755,51,555.988
CRI,0.00557715970117,107,5094.114
CUB,0.00781797671629,87,11326.616
CYP,0.00238034311056,139,1207.361
CZE,0.000535223377649,171,10708.982
DEU,0.00420810802446,114,83783.945
DJI,0.050750948637,28,988.002
DMA,0.00522521165911,109,
DNK,0.00302285995609,126,5792.203
DOM,0.0228163748929,50,10847.904
DZA,0.00118988286662,156,43851.043
ECU,0.00763078287394,90,17643.06
EGY,0.000203100801573,185,102334.403
ERI,0.0481531373502,30,3546.427
ESP,0.0304065859306,44,46754.783
EST,0.0142083916704,65,1326.539
ETH,0.0867412189133,21,114963.583
FIN,0.0017278396545,145,5540.718
FJI,0.00128014192639,152,896.444
FRA,0.00893655211678,81,65273.512
FSM,0.0437727293098,33,115.021
GAB,0.121751772023,15,2225.728
GBR,0.00398906053072,116,67886.004
GEO,0.00885905075716,82,3989.175
GHA,0.0479520914809,31,31072.945
GIN,0.0349702238243,40,13132.792
GMB,0.036646840832,37,2416.664
GNB,0.0732818268669,24,1967.998
GNQ,0.128525907017,14,1402.985
GRC,0.00164918048694,149,10423.056
GRD,0.00451173924599,113,112.519
GRL,0.0105625727359,77,
GTM,0.00681427150999,99,17915.567
GUM,0.00169563698146,146,168.783
GUY,0.0288899951,45,786.559
HND,0.00274350555932,133,9904.608
HRV,0.000438088465243,174,4105.268
HTI,0.0688307426169,25,11402.533
HUN,0.00107898055951,159,9660.35
IDN,0.00457724147396,110,273523.621
IND,0.00630916879841,102,1380004.385
IRL,0.002659611056,135,4937.796
IRN,0.000716924548987,168,83992.953
IRQ,9.74007140847e-05,191,40222.503
ISL,0.00522544486734,108,341.25
